N1,N2,D,C_real1,C_real2
0,0,1,462,457.62964082389487
0,0,1,462,457.96192958254409
0,0,1,462,458.17612998704823
0,0,1,462,458.20130295665183
0,0,1,460.5,456.47690125854285
0,0,1,459,454.97898210529377
0,0,1,458.5,454.41055092841157
0,0,1,458,454.22731596138613
0,0,1,458,453.50039649058749
0,0,1,458,454.19886296685644
0,0,1,457,452.70290637333153
0,0,1,456,451.93513864354145
0,0,1,456,451.79709981641901
0,0,1,456,452.34141841927976
0,0,1,456,451.70517522255636
0,0,1,456,452.30709290409681
0,0,1,456,452.06341439794375
0,0,1,456,451.91912314197702
0,0,1,456,451.64548687206883
0,0,1,456,451.56847878262141
0,0,1,455.5,451.57240471901832
0,0,1,455,450.81832688665264
0,0,1,455,451.36815460746033
0,0,1,455,451.0525116664694
0,0,1,454.5,450.86905291520185
0,0,1,454,449.6800128191972
0,0,1,454,449.84037296422025
0,0,1,454,450.43566349849493
0,0,1,454.5,450.3728882773849
0,0,1,455,450.76955155867358
0,0,1,454.5,450.70326055985345
0,0,1,454,449.91830864975117
0,0,1,454,450.13005269291483
0,0,1,454,449.77172306141227
0,0,1,454,449.83700253947472
0,0,1,454,449.47048149814748
0,0,1,454,450.3843349500699
0,0,1,454,450.13692318711031
0,0,1,454.5,450.94686941795214
0,0,1,455,451.12502236200305
0,0,1,454.5,450.39669558594824
0,0,1,454,449.74049798033758
0,0,1,454,449.65227362046602
0,0,1,454,449.94448861154819
0,0,1,454.5,450.27566537400656
0,0,1,455,450.61449964235084
0,0,1,455.5,451.86513830855574
0,0,1,456,451.80565668696363
0,0,1,455,450.7464400043541
0,0,1,454,450.07271185178058
0,0,1,454.5,450.09587545273979
0,0,1,455,451.10374876539601
0,0,1,455,450.65567258816077
0,0,1,455,450.7366455142415
0,0,1,454.5,450.48291714430121
0,0,1,454,449.79069987358758
0,0,1,454,449.52072650664735
0,0,1,454,449.53202497558942
0,0,1,453.5,449.68181114029181
0,0,1,453,448.60351327547096
0,0,1,453,449.3690078510399
0,0,1,453,449.17813303499167
0,0,1,452,448.19503351832702
0,0,1,451,447.40053151123345
0,0,1,451.5,447.65785644371539
0,0,1,452,447.67930320529501
0,0,1,452.5,448.75682820574229
0,0,1,453,448.86867849517
0,0,1,451.5,447.2232287470809
